#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
callGenomeSegment_chromId_003_4_0011	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:131418567-143365708 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0011.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0011.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0011.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0011	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0011		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0011.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0011.vcf"
callGenomeSegment_chromId_003_4_0012	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:143365709-155312850 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0012.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0012.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0012.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0012	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0012		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0012.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0012.vcf"
callGenomeSegment_chromId_003_4_0013	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:155312851-167259992 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0013.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0013.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0013.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0013	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0013		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0013.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0013.vcf"
callGenomeSegment_chromId_003_4_0014	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:167259993-179207134 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0014.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0014.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0014.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0014	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0014		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0014.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0014.vcf"
callGenomeSegment_chromId_003_4_0015	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/libexec/strelka2 --region 4:179207135-191154276 --ref /home/bioinfo/snv/ref/human_g1k_v37.fasta --max-indel-size 49 --call-regions-bed /home/bioinfo/snv/ref/callable.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /usr/local/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /usr/local/share/config/somaticIndelScoringModels.json --normal-align-file /home/bioinfo/snv/alignment/normal/normal.sorted.dup.recal.bam --tumor-align-file /home/bioinfo/snv/alignment/tumour/tumour.sorted.dup.recal.bam --somatic-snv-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0015.vcf --somatic-indel-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0015.vcf --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0015.xml --strelka-skip-header --strelka-chrom-depth-file /home/bioinfo/snv/variant_calling/strelka/workspace/chromDepth.tsv --strelka-max-depth-factor 3.0
compressSegmentOutput_chromId_003_4_0015	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_003_4_0015		"/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0015.vcf" && "/usr/local/libexec/bgzip" "/home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0015.vcf"
completedAllGenomeSegments	CallGenome	command	0	0	0	0	compressSegmentOutput_chromId_003_4_0010,compressSegmentOutput_chromId_003_4_0003,compressSegmentOutput_chromId_003_4_0007,compressSegmentOutput_chromId_003_4_0000,compressSegmentOutput_chromId_003_4_0004,compressSegmentOutput_chromId_003_4_0013,compressSegmentOutput_chromId_003_4_0001,compressSegmentOutput_chromId_003_4_0005,compressSegmentOutput_chromId_003_4_0008,compressSegmentOutput_chromId_003_4_0002,compressSegmentOutput_chromId_003_4_0011,compressSegmentOutput_chromId_003_4_0006,compressSegmentOutput_chromId_003_4_0012,compressSegmentOutput_chromId_003_4_0015,compressSegmentOutput_chromId_003_4_0014,compressSegmentOutput_chromId_003_4_0009		
SNV_concat_vcf	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		/usr/local/libexec/bgzf_cat -o /home/bioinfo/snv/variant_calling/strelka/results/variants/somatic.snvs.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0000.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0001.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0002.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0003.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0004.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0005.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0006.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0007.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0008.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0009.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0010.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0011.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0012.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0013.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0014.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_003_4_0015.vcf.gz
SNV_index_vcf	CallGenome	command	1	2048	0	1	SNV_concat_vcf		/usr/local/libexec/tabix -p vcf /home/bioinfo/snv/variant_calling/strelka/results/variants/somatic.snvs.vcf.gz
Indel_concat_vcf	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		/usr/local/libexec/bgzf_cat -o /home/bioinfo/snv/variant_calling/strelka/results/variants/somatic.indels.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0000.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0001.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0002.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0003.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0004.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0005.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0006.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0007.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0008.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0009.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0010.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0011.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0012.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0013.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0014.vcf.gz /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_003_4_0015.vcf.gz
Indel_index_vcf	CallGenome	command	1	2048	0	1	Indel_concat_vcf		/usr/local/libexec/tabix -p vcf /home/bioinfo/snv/variant_calling/strelka/results/variants/somatic.indels.vcf.gz
mergeRunStats	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		/usr/local/libexec/MergeRunStats --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0000.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0001.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0002.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0003.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0004.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0005.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0006.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0007.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0008.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0009.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0010.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0011.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0012.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0013.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0014.xml --stats-file /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_003_4_0015.xml --output-file /home/bioinfo/snv/variant_calling/strelka/results/stats/runStats.xml --report-file /home/bioinfo/snv/variant_calling/strelka/results/stats/runStats.tsv
removeTmpDir	CallGenome	command	1	2048	0	1	mergeRunStats,SNV_index_vcf,Indel_index_vcf		rm -rf /home/bioinfo/snv/variant_calling/strelka/workspace/genomeSegment.tmpdir
